Date,Flight Name,Stops,Price,Duration,Departure-Time,Arrival-Time
2024-11-15,British Airways,2 stops,"€1,156",28h 25m,15:30,06:55+2
2024-11-16,Qatar Airways,1 stop,"€1,195",23h 55m,07:55,18:50+1
2024-11-16,"Hainan Airlines, China Eastern",3 stops,€484,35h 50m,11:10,10:00+2
2024-11-16,"Aer Lingus, China Eastern",2 stops,€641,30h 30m,16:30,10:00+2
2024-11-16,"Aer Lingus, Cathay Pacific",2 stops,€881,26h 10m,07:40,20:50+1
2024-11-16,Emirates,1 stop,"€1,125",22h 20m,13:10,22:30+1
2024-11-16,"Aer Lingus, Air China",2 stops,€575,36h 00m,16:30,15:30+2
2024-11-16,Emirates,1 stop,"€1,125",23h 10m,20:50,07:00+2
2024-11-16,"Hainan Airlines, China Eastern",3 stops,€484,35h 50m,11:10,10:00+2
2024-11-16,"Aer Lingus, China Eastern",2 stops,€654,31h 30m,15:30,10:00+2
2024-11-16,"Aer Lingus, Cathay Pacific",2 stops,€882,27h 35m,06:15,20:50+1
2024-11-16,"Emirates, Qantas Airways",1 stop,"€1,145",22h 20m,13:10,22:30+1
2024-11-16,"Aer Lingus, Cathay Pacific",2 stops,€896,28h 05m,18:30,09:35+2
2024-11-16,"Aer Lingus, Cathay Pacific",2 stops,€921,27h 10m,06:40,20:50+1
2024-11-16,Qantas Airways,1 stop,"€1,156",22h 20m,13:10,22:30+1
2024-11-16,Qatar Airways,1 stop,"€1,121",23h 55m,07:55,18:50+1
2024-11-16,"Aer Lingus, Malaysia Airlines",2 stops,€838,30h 50m,16:30,10:20+2
2024-11-17,Qatar Airways,2 stops,"€1,303",27h 00m,07:55,21:55+1
2024-11-17,"Turkish Airlines, Jetstar",2 stops,€630,30h 15m,16:50,10:05+2
2024-11-17,Multiple Airlines,2 stops,€559,40h 15m,06:50,10:05+2
2024-11-17,Qantas Airways,1 stop,"€1,146",22h 20m,13:10,22:30+1
2024-11-17,British Airways,2 stops,"€1,027",25h 25m,18:30,06:55+2
2024-11-17,Multiple Airlines,2 stops,€599,33h 30m,13:35,10:05+2
2024-11-17,"Emirates, Qantas Airways",1 stop,"€1,146",22h 20m,13:10,22:30+1
2024-11-17,Qantas Airways,1 stop,"€1,146",23h 10m,20:50,07:00+2
2024-11-17,"Transavia France, T'way Air",2 stops,€625,33h 40m,13:35,10:15+2
2024-11-17,"Emirates, Qantas Airways",1 stop,"€1,146",23h 10m,20:50,07:00+2
2024-11-17,SWISS,2 stops,€904,34h 55m,09:20,07:15+2
2024-11-17,Turkish Airlines,2 stops,€978,30h 30m,16:50,10:20+2
2024-11-17,British Airways,2 stops,"€1,026",28h 05m,15:50,06:55+2
2024-11-17,Qantas Airways,1 stop,"€1,146",30h 50m,13:10,07:00+2
2024-11-17,"Lufthansa, Cathay Pacific",2 stops,"€1,019",28h 50m,05:00,20:50+1
2024-11-17,Turkish Airlines,2 stops,€977,32h 40m,14:40,10:20+2
2024-11-17,British Airways,2 stops,"€1,027",28h 05m,15:50,06:55+2
2024-11-18,Turkish Airlines,2 stops,€849,54h 25m,16:55,10:20+3
2024-11-18,SWISS,2 stops,€904,25h 35m,18:40,07:15+2
2024-11-18,"SWISS, Sichuan Airlines",3 stops,€560,57h 45m,18:40,15:25+3
2024-11-18,Air France,2 stops,€890,26h 50m,16:40,06:30+2
2024-11-18,Qantas Airways,1 stop,"€1,132",22h 20m,13:10,22:30+1
2024-11-18,Air France,2 stops,€905,27h 45m,16:40,07:25+2
2024-11-18,"Emirates, Qantas Airways",1 stop,"€1,146",22h 20m,13:10,22:30+1
2024-11-18,"SWISS, Qantas Airways",2 stops,€983,25h 45m,18:40,07:25+2
2024-11-18,"Emirates, Qantas Airways",1 stop,"€1,146",23h 10m,20:50,07:00+2
2024-11-18,Qantas Airways,1 stop,"€1,146",23h 10m,20:50,07:00+2
2024-11-18,Turkish Airlines,2 stops,€902,30h 25m,16:55,10:20+2
2024-11-18,SWISS,2 stops,€904,30h 55m,13:20,07:15+2
2024-11-18,"British Airways, Malaysia Airlines",2 stops,€885,37h 25m,20:10,20:35+2
2024-11-18,British Airways,2 stops,"€1,009",26h 05m,17:50,06:55+2
2024-11-18,Air France,2 stops,€905,34h 35m,08:55,06:30+2
2024-11-18,"Lufthansa, Cathay Pacific",2 stops,€980,28h 50m,05:00,20:50+1
