Date,Stops,Price,Duration,Departure-Time,Airline
2024-11-26,2,828.0,27.75,16:40,Air France
2024-11-26,1,1146.0,22.33,13:10,Qantas Airways
2024-11-26,1,1146.0,22.33,13:10,Emirates
2024-11-26,2,1013.0,25.5,18:30,Other Airlines
2024-11-26,1,1146.0,23.17,20:50,Qantas Airways
2024-11-26,1,1146.0,23.17,20:50,Emirates
2024-11-26,2,1013.0,25.5,10:00,Other Airlines
2024-11-26,2,1013.0,25.5,10:00,Other Airlines
2024-11-26,2,853.0,30.5,16:50,Turkish Airlines
2024-11-26,2,1081.0,25.42,18:05,Finnair
2024-11-26,2,1040.0,26.0,17:55,British Airways
2024-11-26,2,1084.0,25.83,18:05,Finnair
2024-11-26,2,1084.0,25.0,08:25,Etihad Airways
2024-11-27,2,921.0,25.58,18:40,SWISS
2024-11-27,2,828.0,26.83,16:40,Air France
2024-11-27,1,1155.0,22.33,13:10,Qantas Airways
2024-11-27,1,1155.0,23.17,20:50,Qantas Airways
2024-11-27,2,1040.0,26.0,17:55,British Airways
2024-11-27,2,1068.0,26.5,17:55,British Airways
2024-11-27,2,1081.0,26.08,17:25,KLM
2024-11-27,3,1004.0,26.75,17:25,KLM
2024-11-27,3,1003.0,27.0,17:25,KLM
2024-11-27,2,1081.0,27.0,17:25,KLM
2024-11-27,2,1070.0,28.42,15:30,British Airways
2024-11-27,2,1070.0,28.42,15:30,British Airways
2024-11-27,2,921.0,31.33,12:55,SWISS
2024-11-27,2,1082.0,27.92,16:00,British Airways
2024-11-27,2,1068.0,28.92,15:30,British Airways
2024-11-28,2,1303.0,26.5,07:55,Other Airlines
2024-11-28,2,904.0,25.58,18:40,SWISS
2024-11-28,2,828.0,26.83,16:40,Air France
2024-11-28,2,828.0,27.75,16:40,Air France
2024-11-28,2,912.0,26.83,17:25,Other Airlines
2024-11-28,1,1146.0,22.33,13:10,Qantas Airways
2024-11-28,1,1146.0,22.33,13:10,Emirates
2024-11-28,2,1013.0,25.5,18:30,Other Airlines
2024-11-28,1,1146.0,23.17,20:50,Qantas Airways
2024-11-28,1,1146.0,23.17,20:50,Emirates
2024-11-28,2,1081.0,25.42,18:05,Finnair
2024-11-28,2,1040.0,26.0,17:55,British Airways
2024-11-28,2,1081.0,25.17,10:20,Other Airlines
2024-11-28,2,1081.0,25.17,10:20,Other Airlines
2024-11-28,2,1084.0,25.83,18:05,Finnair
2024-11-28,2,996.0,28.5,18:05,Finnair
2024-11-29,2,1303.0,31.25,14:10,Other Airlines
2024-11-29,2,828.0,26.83,16:40,Air France
2024-11-29,3,725.0,81.75,18:40,SWISS
2024-11-29,2,848.0,27.75,16:40,Air France
2024-11-29,1,1171.0,22.33,13:10,Qantas Airways
2024-11-29,2,904.0,25.58,18:40,SWISS
2024-11-29,1,1171.0,22.33,13:10,Emirates
2024-11-29,2,816.0,38.67,16:50,Turkish Airlines
2024-11-29,2,904.0,31.5,12:45,SWISS
2024-11-29,2,1037.0,25.5,18:30,Other Airlines
2024-11-29,2,1040.0,25.67,18:15,British Airways
2024-11-29,2,1081.0,26.33,18:05,Finnair
2024-11-29,2,859.0,37.5,06:00,Air France
2024-11-29,3,940.0,26.75,17:25,KLM
2024-11-29,1,1269.0,23.17,20:50,Qantas Airways
2024-11-29,1,1269.0,23.17,20:50,Emirates
2024-11-29,2,1040.0,28.0,15:55,British Airways
2024-11-30,2,527.0,34.08,13:20,Other Airlines
2024-11-30,2,528.0,34.08,13:20,Other Airlines
2024-11-30,2,778.0,26.92,06:40,Other Airlines
2024-11-30,2,566.0,34.0,13:25,KLM
2024-11-30,2,815.0,26.83,16:40,Air France
2024-11-30,2,815.0,27.75,16:40,Air France
